operacion;cliente;comercial;origen;destino;incoterm;pais;transporte;qpallets;costotransporte;tarifacomerciales;precio;agencia;fechacarga;producto
144;10300;PACHI;CAZORLA;SAN PETERSBURGO;CFR;RUSIA;20';11;1130;1600;5803;PINTO BASTO;6/2020;ACEITUNAS VERDES SIN HUESO
145;200;PACHI;ARASOL;POTI;CFR;GEORGIA;40';25;1950;2550;13188;DHL;6/2020;ACEITUNAS VERDES SIN HUESO
146;2100;DAVID;ARASOL;LEYTON;DDP;REINO UNIDO;40';25;1945;2200;20400;BRAID;6/2020;ACEITUNAS  RELLENAS  ANCHOA
147;2100;DAVID;ARASOL;MANCHESTER;DDP;REINO UNIDO;40';25;2005;2530;20400;BRAID;6/2020;ACEITUNAS  RELLENAS  ANCHOA
148;6000;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;40';25;1890;1580;26180;BRAID;6/2020;ACEITUNAS VERDES  RODAJAS
149;6100;IRENE;ARASOL;HAMBURGO;DAP;ALEMANIA;40';25;1580;1579;26180;BRAID;6/2020;ACEITUNAS VERDES  RODAJAS
150;3100;IRENE;OLIVES;HAMBURGO;DDP;ALEMANIA;40';25;1745;1650;20400;TRANSITEX;6/2020;ACEITUNAS  RELLENAS  ANCHOA
151;3100;IRENE;OSUNA;HAMBURGO;DDP;ALEMANIA;40';25;1595;1400;24120;TRANSITEX;6/2020;ACEITUNAS RELLENAS PIMIENTO
152;1700;PACHI;OSUNA;SHARJAH;CFR;EMIRATOS ARABES UNIDOS;20';11;1425;1600;11517;YUSEN LOGISTICS;6/2020;ACEITUNAS VERDES  RODAJAS
153;1700;PACHI;ARASOL;SHARJAH;CFR;EMIRATOS ARABES UNIDOS;20';11;1500;1600;11517;YUSEN LOGISTICS;6/2020;ACEITUNAS VERDES  RODAJAS
154;8300;PACHI;OLIVES;PARANAGUA;CFR;BRASIL;20';11;1232;1350;8976;DSV;6/2020;ACEITUNAS  RELLENAS  ANCHOA
155;7200;DAVID;ARASOL;FLEURY LES AUBRAIS;DDP;FRANCIA;CAMION;33;1795;1650;10201;CARRERAS;6/2020;ACEITUNAS NEGRAS RODAJAS
156;7200;DAVID;ACENORCA;FLEURY LES AUBRAIS;DDP;FRANCIA;CAMION;33;1540;1650;10201;CARRERAS;6/2020;ACEITUNAS NEGRAS RODAJAS
157;7100;DAVID;OSUNA;CERMENATE;DAP;ITALIA;CAMION;33;1850;2000;12899;TRANSITALIA;6/2020;ACEITUNAS VERDES  RODAJAS
158;7000;DAVID;CAZORLA;MONTEPRANDONE;DAP;ITALIA;CAMION;33;1500;2050;10201;TRANSITALIA;6/2020;ACEITUNAS NEGRAS RODAJAS
159;3200;DAVID;ACENORCA;LURE;DAP;FRANCIA;CAMION;33;1850;2000;11187;TRANSMOVIEX;6/2020;ACEITUNAS RELLENAS PIMIENTO
160;6700;DAVID;ACENORCA;ROTTOFRENO;DAP;ITALIA;CAMION;33;1610;1800;10201;LKW WALTER;6/2020;ACEITUNAS NEGRAS RODAJAS
161;6700;DAVID;ACENORCA;SARNO;DAP;ITALIA;CAMION;33;1950;1800;12899;SMET;6/2020;ACEITUNAS VERDES  RODAJAS
162;6700;DAVID;OLIVES;SARNO;DAP;ITALIA;CAMION;33;1970;1800;10201;LKW WALTER;6/2020;ACEITUNAS NEGRAS RODAJAS
163;6700;DAVID;OLIVES;ROTTOFRENO;DAP;ITALIA;CAMION;33;1610;1800;10053;LKW WALTER;6/2020;ACEITUNAS  RELLENAS  ANCHOA
164;6700;DAVID;OSUNA;SARNO;DAP;ITALIA;CAMION;33;1900;1800;11187;SMET;6/2020;ACEITUNAS RELLENAS PIMIENTO
165;6700;DAVID;OSUNA;ROTTOFRENO;DAP;ITALIA;CAMION;33;1630;1800;12899;LIBERTIA;6/2020;ACEITUNAS VERDES  RODAJAS
166;10300;PACHI;CAZORLA;SAN PETERSBURGO;CFR;RUSIA;40';25;1350;1600;20700;TRANSITEX;6/2020;ACEITUNAS NEGRAS RODAJAS
167;10300;PACHI;ARASOL;SAN PETERSBURGO;CIF;RUSIA;40';25;1200;1750;24120;TRANSITEX;6/2020;ACEITUNAS RELLENAS PIMIENTO
168;1300;PACHI;ARASOL;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1475;1350;8976;YUSEN LOGISTICS;6/2020;ACEITUNAS  RELLENAS  ANCHOA
169;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;20';11;1378;1300;8976;SAVINO DEL BENE;6/2020;ACEITUNAS  RELLENAS  ANCHOA
170;1100;PACHI;ACENORCA;JEDDAH;CFR;ARABIA SAUDITA;20';11;1650;1450;8976;OPERINTER;6/2020;ACEITUNAS  RELLENAS  ANCHOA
