BL/AWB/PRO	Container	Purchase Order	Forwarder	Est. POL Date	Est. POD Date	Mode	POL	País	Customs Inspection	Planned to HUB	Planned to Warehouse	Cont. Date 1	Carrier	Order Qty	Transport price
XM2212005I	TRIU8435996	121471- 121922	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	11/1/2023	Mediterranean Shipping Company (MSC)	1500	2800
XM2212005H	CXRU1411402	124128- 124132- 124133	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	10/1/2023	Mediterranean Shipping Company (MSC)	8502	2800
XM2212005H	MEDU9141321	124128	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	10/1/2023	Mediterranean Shipping Company (MSC)	351	2800
XM2212003E	FSCU8045799	121157- 121404- 121416- 121177	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	12/1/2023	Mediterranean Shipping Company (MSC)	5651	2800
XM2212003E	MSMU8408952	121412- 121402	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	13/1/2023	Mediterranean Shipping Company (MSC)	5910	2800
XM2212003D	FFAU2939840	121152- 121175- 125300	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	12/1/2023	Mediterranean Shipping Company (MSC)	5503	2800
XM2212003D	FFAU4131640	121432- 121438- 121442	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	12/1/2023	Mediterranean Shipping Company (MSC)	6702	2800
XM2212001I/01	CAIU4726586	121255- 121362- 121363- 122083- 122084- 124134- 124150- 124692- 124689- 124697- 124705- 124701- 124707- 124824	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	11/1/2023	Maersk Line	1300	3300
XM2212001I/02	CAIU4726586	121255- 121362- 121363- 122083- 122084- 124134- 124150- 124692- 124689- 124697- 124705- 124701- 124707- 124824	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	11/1/2023	Maersk Line	29112	3300
XM2212001I/03	CAIU4726586	121255- 121362- 121363- 122083- 122084- 124134- 124150- 124692- 124689- 124697- 124705- 124701- 124707- 124824	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	11/1/2023	Mediterranean Shipping Company (MSC)	4701	2800
XM2212003I/01	CAIU4755028	122448- 121194- 120911	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	12/1/2023	Mediterranean Shipping Company (MSC)	6302	2800
XM2212003I/01	MSDU5059784	121201- 121194- 121204	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	12/1/2023	Mediterranean Shipping Company (MSC)	5204	2800
